Serogroup,Danish_Type,US_Type,Structure_Status,Backbone_Normalized,Repeat_Unit_Machine,Branch_Attachment_Evidence,Notes,Reference,IUPAC_Condensed_Repeat_Unit_Verbatim
6,6F,6F,composite,,,,,47,6F has both 6A and 6C repeating units
6,6G,6G,composite,,,,,47,6G has both 6B and 6D repeating units
6,6H,6H,composite,,,,,279,6H has both 6A and 6B repeating units
7,7F,51,full_structure,→6)-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-β-D-Glcp-(1→3)-β-D-GalpNAc-(1→,→6)-[β-D-Galp-(1→2)]-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-β-D-Glcp-(1→3)-[α-D-GlcpNAc-(1→2)-α-L-Rhap-(1→4)]-β-D-GalpNAc-(1→,snfg-fig2,,31,"→6)-α-d-Galp-(1→3)-β-l-Rhap2Ac-(1→4)-β-d-Glcp-(1→3)-β-d-GalpNAc-(1→
2 4
↑ ↑
1 1
β-d-Galp α-d-GlcpNAc-(1→2)-α-l-Rhap"
7,7A,7,full_structure,→6)-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-β-D-Glcp-(1→3)-β-D-GalpNAc-(1→,→6)-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-β-D-Glcp-(1→3)-[α-D-GlcpNAc-(1→2)-α-L-Rhap-(1→4)]-β-D-GalpNAc-(1→,snfg-fig2,,31,"→6)-α-d-Galp-(1→3)-β-l-Rhap2Ac-(1→4)-β-d-Glcp-(1→3)-β-d-GalpNAc-(1→
4
↑
1
α-d-GlcpNAc-(1→2)-α-l-Rhap"
7,7B,48,full_structure,→6)-α-D-GlcpNAc-(1→2)-α-L-Rhap-(1→2)-β-L-Rhap-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp(1→P→,→6)-[β-D-Ribf-(1→4)-α-L-Rhap-(1→3)]-α-D-GlcpNAc-(1→2)-α-L-Rhap-(1→2)-β-L-Rhap-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp(1→P→,snfg-fig2,,31,"→6)-α-d-GlcpNAc-(1→2)-α-l-Rhap-(1→2)-β-l-Rhap-(1→4)-β-d-Glcp-(1→4)-α-d-Glcp(1→P→
3
↑
1
β-d-Ribf-(1→4)-α-l-Rhap"
7,7C,50,full_structure,"β-Ribf-(1→4)-α-Rhap-(1→O-P-6)-α-GlcpNAc-(1→2)-α-Rhap-(1→2)-β-Rhap-(1→4)-β-Glcp-(1→3,4)-α-GalpNAc-(1-O-P-","β-Ribf-(1→4)-α-Rhap-(1→O-P-6)-α-GlcpNAc-(1→2)-α-Rhap-(1→2)-β-Rhap-(1→4)-β-Glcp-(1→3,4)-α-GalpNAc-(1-O-P-",linear,,Kjeldsen et al. Carbohydr Res 2018;463:24-31. doi:10.1016/j.carres.2018.04.011,"β-Ribf-(1→4)-α-Rhap-(1→O-P-6)-α-GlcpNAc-(1→2)-α-Rhap-(1→2)-β-Rhap-(1→4)-β-Glcp-(1→3,4)-α-GalpNAc-(1-O-P-"
8,8,8,full_structure,→4)-β-D-GlcpA-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp-(1→4)-α-D-Galp-(1→,→4)-β-D-GlcpA-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp-(1→4)-α-D-Galp-(1→,linear,,31,→4)-β-d-GlcpA-(1→4)-β-d-Glcp-(1→4)-α-d-Glcp-(1→4)-α-d-Galp-(1→
9,9A,33,full_structure,→4)-α-D-GlcpA[2Ac:0.27;3Ac:0.61]-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc[4Ac:0.03]-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp(1→,→4)-α-D-GlcpA[2Ac:0.27;3Ac:0.61]-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc[4Ac:0.03]-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp(1→,linear,,46,"→4)-α-d-GlcpA20.27,30.61Ac2-(1→3)-α-d-Galp-(1→3)-β-d-ManpNAc4Ac0.03-(1→4)-β-d-Glcp-(1→4)-α-d-Glcp(1→"
9,9L,49,full_structure,→4)-α-D-GlcpA-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-α-D-GlcpNAc-(1→,→4)-α-D-GlcpA-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-α-D-GlcpNAc-(1→,linear,,31,→4)-α-d-GlcpA-(1→3)-α-d-Galp-(1→3)-β-d-ManpNAc-(1→4)-β-d-Glcp-(1→4)-α-d-GlcpNAc-(1→
9,9N,9,full_structure,→4)-α-D-GlcpA-(1→3)-α-D-Glcp-(1→3)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-α-D-GlcpNAc-(1→,→4)-α-D-GlcpA-(1→3)-α-D-Glcp-(1→3)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-α-D-GlcpNAc-(1→,linear,,31,→4)-α-d-GlcpA-(1→3)-α-d-Glcp-(1→3)-β-d-ManpNAc-(1→4)-β-d-Glcp-(1→4)-α-d-GlcpNAc-(1→
9,9V,68,full_structure,→4)-α-D-GlcpA[2Ac:0.25;3Ac:0.55]-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc[4Ac:0.09;6Ac:1.04]-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp-(1→,→4)-α-D-GlcpA[2Ac:0.25;3Ac:0.55]-(1→3)-α-D-Galp-(1→3)-β-D-ManpNAc[4Ac:0.09;6Ac:1.04]-(1→4)-β-D-Glcp-(1→4)-α-D-Glcp-(1→,linear,,46,"→4)-α-d-GlcpA20.25,30.55Ac2-(1→3)-α-d-Galp-(1→3)-β-d-ManpNAc40.09,61.04Ac2-(1→4)-β-d-Glcp-(1→4)-α-d-Glcp-(1→"
10,10F,10,full_structure,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-D-Rib-ol-(5→P→,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-[β-D-Galf-(1→6)]-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-D-Rib-ol-(5→P→,snfg-fig2,,280,"β-d-Galf
1
↓
6
→5)-β-d-Galf-(1→3)-β-d-Galp-(1→4)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→4)-d-Rib-ol-(5→P→"
10,10A,34,full_structure,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-[β-D-Galp-(1→6)][β-D-Galf-(1→3)]-β-D-GalpNAc-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,snfg-fig2,,31,"β-d-Galp
1
↓
6
→5)-β-d-Galf-(1→3)-β-d-Galp-(1→4)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→2)-d-Rib-ol-(5→P→
3
↑
1
β-d-Galf"
10,10B,ND,full_structure,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-D-Rib-ol-(5→P→,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-[β-D-Galf-(1→3)]-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-D-Rib-ol-(5→P→,snfg-fig2,,281,"→5)-β-d-Galf-(1→3)-β-d-Galp-(1→4)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→4)-d-Rib-ol-(5→P→
3
↑
1
β-d-Galf"
10,10C,ND,full_structure,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,→5)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-[β-D-Galf-(1→6)]-β-D-GalpNAc-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,snfg-fig2,,281,"β-d-Galf
1
↓
6
→5)-β-d-Galf-(1→3)-β-d-Galp-(1→4)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→2)-d-Rib-ol-(5→P→"
11,11F,11,full_structure,→6)-α-D-GlcpNAc[3Ac]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac:0.8;6Ac:0.6]-(1→4)-β-D-Glcp-(1→,→6)-[Rib-ol-(1→P→4)]-α-D-GlcpNAc[3Ac]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac:0.8;6Ac:0.6]-(1→4)-β-D-Glcp-(1→,valence,,36,"→6)-α-d-GlcpNAc3Ac-(1→4)-α-d-Galp-(1→3)-β-d-Galp40.8,60.6Ac2-(1→4)-β-d-Glcp-(1→
4
↑
Rib-ol-(1→P"
11,11A,43,full_structure,→6)-α-D-Glcp[2Ac:0.6;3Ac:0.5]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac;6Ac:0.5]-(1→4)-β-D-Glcp-(1→,→6)-[Gro-(1→P→4)]-α-D-Glcp[2Ac:0.6;3Ac:0.5]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac;6Ac:0.5]-(1→4)-β-D-Glcp-(1→,snfg-fig2,,36,"→6)-α-d-Glcp20.6,30.5Ac2-(1→4)-α-d-Galp-(1→3)-β-d-Galp4,60.5Ac2-(1→4)-β-d-Glcp-(1→
4
↑
Gro-(1→P"
11,11B,76,full_structure,→6)-α-D-GlcpNAc[3Ac:0.8]-(1→4)-α-D-Galp[2Ac:0.4]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→6)-[Rib-ol-(1→P→4)]-α-D-GlcpNAc[3Ac:0.8]-(1→4)-α-D-Galp[2Ac:0.4]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,36,"→6)-α-d-GlcpNAc3Ac0.8-(1→4)-α-d-Galp2Ac0.4-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
4
↑
Rib-ol-(1→P"
11,11C,53,full_structure,→6)-α-D-GlcpNAc[3Ac:0.9]-(1→4)-α-D-Galp[2Ac:0.3]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→6)-[Gro-(1→P→4)]-α-D-GlcpNAc[3Ac:0.9]-(1→4)-α-D-Galp[2Ac:0.3]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,36,"→6)-α-d-GlcpNAc3Ac0.9-(1→4)-α-d-Galp2Ac0.3-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
4
↑
Gro-(1→P"
11,11D,ND,composite,,,,,105,"Gro-(1→P
↓
4
→6)-α-d-GlcpNAc3Ac0.8-(1→4)-α-d-Galp-(1→3)-β-d-Galp4,60.5Ac2-(1→4)-β-d-Glcp-(1→
and
Gro-(1→P
↓
4
→6)-α-d-Glcp20.6,30.5Ac2-(1→4)-α-d-Galp-(1→3)-β-d-Galp4,60.5Ac2-(1→4)-β-d-Glcp-(1→"
11,11E,ND,full_structure,→6)-α-D-Glcp[2Ac;3Ac:0.3]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac:0.3]-(1→4)-β-D-Glcp-(1→,→6)-[Gro-(1→P→4)]-α-D-Glcp[2Ac;3Ac:0.3]-(1→4)-α-D-Galp-(1→3)-β-D-Galp[4Ac:0.3]-(1→4)-β-D-Glcp-(1→,valence,,"36, 101, 282","→6)-α-d-Glcp2,30.3Ac2-(1→4)-α-d-Galp-(1→3)-β-d-Galp4Ac0.3-(1→4)-β-d-Glcp-(1→
4
↑
Gro-(1→P"
12,12F,12,full_structure,→4)-α-L-FucpNAc-(1→3)-β-D-GalpNAc-(1→4)-β-D-ManpNAcA-(1→,→4)-[α-D-Galp-(1→3)]-α-L-FucpNAc-(1→3)-β-D-GalpNAc-(1→4)-[α-D-Glcp-(1→2)-α-D-Glcp-(1→3)]-β-D-ManpNAcA-(1→,snfg-fig2,,31,"→4)-α-l-FucpNAc-(1→3)-β-d-GalpNAc-(1→4)-β-d-ManpNAcA-(1→
3 3
↑ ↑
1 1
α-d-Galp α-d-Glcp-(1→2)-α-d-Glcp"
12,12A,83,full_structure,→4)-α-L-FucpNAc-(1→3)-β-D-GlcpNAc-(1→4)-β-D-ManpNAcA-(1→,→4)-[α-D-GalpNAc-(1→3)]-α-L-FucpNAc-(1→3)-β-D-GlcpNAc-(1→4)-[α-D-Glcp-(1→2)-α-D-Glcp-(1→3)]-β-D-ManpNAcA-(1→,snfg-fig2,,31,"→4)-α-l-FucpNAc-(1→3)-β-d-GlcpNAc-(1→4)-β-d-ManpNAcA-(1→
3 3
↑ ↑
1 1
α-d-GalpNAc α-d-Glcp-(1→2)-α-d-Glcp"
12,12B,ND,none,,,,,,No information
13,13,13,full_structure,→4)-β-D-Galp-(1→4)-β-D-Glcp[2Ac;3Ac]-(1→3)-β-D-Galf-(1→4)-β-D-GlcpNAc-(1→4)-D-Rib-ol-(5→P→,→4)-β-D-Galp-(1→4)-β-D-Glcp[2Ac;3Ac]-(1→3)-β-D-Galf-(1→4)-β-D-GlcpNAc-(1→4)-D-Rib-ol-(5→P→,linear,,31,"→4)-β-d-Galp-(1→4)-β-d-Glcp2,3Ac2-(1→3)-β-d-Galf-(1→4)-β-d-GlcpNAc-(1→4)-d-Rib-ol-(5→P→"
14,14,14,full_structure,→6)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→6)-[β-D-Galp-(1→4)]-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,31,"→6)-β-d-GlcpNAc-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
4
↑
1
β-d-Galp"
15,15F,15,full_structure,→3)-α-D-Galp-(1→2)-β-D-Galp-(1→4)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→ + (OAc)2 (Unassigned),→3)-α-D-Galp-(1→2)-[Gro-(2→P→3)]-β-D-Galp-(1→4)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→ + (OAc)2 (Unassigned),snfg-fig2-revised,,31,"→3)-α-d-Galp-(1→2)-β-d-Galp-(1→4)-β-d-GlcpNAc-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→ + (OAc)2 (Unassigned)
3
↑
Cho0.2→P"
15,15A,30,full_structure,→3)-α-D-Galp-(1→2)-β-D-Galp-(1→4)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→3)-α-D-Galp-(1→2)-[Gro[stoich:0.7]-(2→P→3)]-β-D-Galp-(1→4)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,31,"→3)-α-d-Galp-(1→2)-β-d-Galp-(1→4)-β-d-GlcpNAc-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
3
↑
Gro0.7-(2→P"
15,15B,54,full_structure,→6)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→6)-[α-D-Galp[2Ac:0.06;3Ac:0.12;4Ac:0.12;6Ac:0.55]-(1→2)-[Gro-(2→P→3)]-β-D-Galp-(1→4)]-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,32,"→6)-β-d-GlcpNAc-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
4
↑
1
α-d-Galp20.06,30.12,40.12,60.55Ac4(1→2)-β-d-Galp
3
↑
Gro0.7-(2→P"
15,15C,77,full_structure,→6)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→6)-[α-D-Galp-(1→2)-[Gro-(2→P→3)]-β-D-Galp-(1→4)]-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,snfg-fig2,,32,"→6)-β-d-GlcpNAc-(1→3)-β-d-Galp-(1→4)-β-d-Glcp-(1→
4
↑
1
α-d-Galp-(1→2)-β-d-Galp
3
↑
Gro0.7-(2→P"
16,16F,16,full_structure,→3)-α-L-Rhap-[4-P-1-Gro]-(1→3)-α-D-Glcp-[(6-P-1)-Gro]-(1→3)-β-L-Rhap-[2-OAc]-(1→4)-β-D-Glcp-(1→,→3)-α-L-Rhap-[4-P-1-Gro]-(1→3)-α-D-Glcp-[(6-P-1)-Gro]-(1→3)-β-L-Rhap-[2-OAc]-(1→4)-β-D-Glcp-(1→,linear,,Li et al. J Bacteriol 2019;201(20). doi:10.1128/jb.00453-19,-3)-α-L-Rhap-[4-P-1-Gro]-(1-3)-α-D-Glcp-[(6-P-1)-Gro]-(1-3)-β-L-Rhap-[2-OAc]-(1-4)-β-D-Glcp-(1-
16,16A,ND,full_structure,→3)-β-D-Galf-[2-OAc (70%)]-(1→3)-α-L-Rhap-(1→2)-α-L-Rhap-(1→3)-α-D-Galp-[(6-P-1)-Gro]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,→3)-β-D-Galf-[2-OAc (70%)]-(1→3)-α-L-Rhap-(1→2)-α-L-Rhap-(1→3)-α-D-Galp-[(6-P-1)-Gro]-(1→3)-β-D-Galp-(1→4)-β-D-Glcp-(1→,linear,,Li et al. J Bacteriol 2019;201(20). doi:10.1128/jb.00453-19,-3)-β-D-Galf-[2-OAc (70%)]-(1-3)-α-L-Rhap-(1-2)-α-L-Rhap-(1-3)-α-D-Galp-[(6-P-1)-Gro]-(1-3)-β-D-Galp-(1-4)-β-D-Glcp-(1-
17,17F,17,full_structure,→3)-β-L-Rhap-(1→4)-β-D-Glcp-(1→3)-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-α-L-Rhap-(1→2)-D-Ara-ol-(1→P→,→3)-β-L-Rhap-(1→4)-β-D-Glcp-(1→3)-α-D-Galp-(1→3)-[α-D-Galp-(1→4)]-β-L-Rhap[2Ac]-(1→4)-α-L-Rhap-(1→2)-D-Ara-ol-(1→P→,snfg-fig2,,"283, 284","→3)-β-l-Rhap-(1→4)-β-d-Glcp-(1→3)-α-d-Galp-(1→3)-β-l-Rhap2Ac-(1→4)-α-l-Rhap-(1→2)-d-Ara-ol-(1→P→
4
↑
1
α-d-Galp"
17,17A,78,full_structure,→3)-β-D-Glcp-(1→3)-α-D-Galp-(1→3)-β-L-Rhap[2Ac]-(1→4)-α-L-Rhap-(1→4)-β-D-GlcpA-(1→3)-β-D-Galf-(1→,→3)-β-D-Glcp-(1→3)-α-D-Galp-(1→3)-[β-D-Galp-(1→4)]-β-L-Rhap[2Ac]-(1→4)-α-L-Rhap-(1→4)-β-D-GlcpA-(1→3)-[α-D-Glcp-(1→2)]-β-D-Galf-(1→,snfg-fig2,,31,"→3)-β-d-Glcp-(1→3)-α-d-Galp-(1→3)-β-l-Rhap2Ac-(1→4)-α-l-Rhap-(1→4)-β-d-GlcpA-(1→3)-β-d-Galf-(1→
4 2
↑ ↑
1 1
β-d-Galp α-d-Glcp"
18,18F,18,full_structure,→4)-β-D-Glcp-(1→4)-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap[2Ac]-(1→,→4)-β-D-Glcp-(1→4)-[Gro-(1→P→3)][α-D-Glcp[6Ac]-(1→2)]-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap[2Ac]-(1→,snfg-fig2,,31,"Gro-(1→P
↓
3
→4)-β-d-Glcp-(1→4)-β-d-Galp-(1→4)-α-d-Glcp-(1→3)-β-l-Rhap2Ac-(1→
2
↑
1
α-d-Glcp6Ac"
18,18A,44,full_structure,→4)-β-D-Glcp-(1→4)-β-D-Galp-(1→4)-α-D-GlcpNAc-(1→3)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→4)-[D-Gro-(1→P→3)][α-D-Glcp-(1→2)]-β-D-Galp-(1→4)-α-D-GlcpNAc-(1→3)-β-L-Rhap-(1→,snfg-fig2,,31,"d-Gro-(1→P
↓
3
→4)-β-d-Glcp-(1→4)-β-d-Galp-(1→4)-α-d-GlcpNAc-(1→3)-β-l-Rhap-(1→
2
↑
1
α-d-Glcp"
18,18B,55,full_structure,→4)-β-D-Glcp-(1→4)-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→4)-[D-Gro-(1→P→3)][α-D-Glcp-(1→2)]-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap-(1→,snfg-fig2,,31,"d-Gro-(1→P
↓
3
→4)-β-d-Glcp-(1→4)-β-d-Galp-(1→4)-α-d-Glcp-(1→3)-β-l-Rhap-(1→
2
↑
1
α-d-Glcp"
18,18C,56,full_structure,→4)-β-D-Glcp-(1→4)-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→4)-[Gro-(1→P→3)][α-D-Glcp[6Ac:0.3]-(1→2)]-β-D-Galp-(1→4)-α-D-Glcp-(1→3)-β-L-Rhap-(1→,snfg-fig2,,31,"Gro-(1→P
↓
3
→4)-β-d-Glcp-(1→4)-β-d-Galp-(1→4)-α-d-Glcp-(1→3)-β-l-Rhap-(1→
2
↑
1
α-d-Glcp6Ac0.3"
19,19F,19,full_structure,→4)-β-D-ManpNAc-(1→4)-α-D-Glcp-(1→2)-α-L-Rhap-(1→P→,→4)-β-D-ManpNAc-(1→4)-α-D-Glcp-(1→2)-α-L-Rhap-(1→P→,linear,,31,→4)-β-d-ManpNAc-(1→4)-α-d-Glcp-(1→2)-α-l-Rhap-(1→P→
19,19A,57,full_structure,→4)-β-D-ManpNAc-(1→4)-α-D-Glcp-(1→3)-α-L-Rhap-(1→P→,→4)-β-D-ManpNAc-(1→4)-α-D-Glcp-(1→3)-α-L-Rhap-(1→P→,linear,,31,→4)-β-d-ManpNAc-(1→4)-α-d-Glcp-(1→3)-α-l-Rhap-(1→P→
19,19B,58,full_structure,→4)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-β-D-ManpNAc-(1→4)-α-L-Rhap-(1→P→,→4)-[β-D-Ribf-(1→4)-α-L-Rhap-(1→3)]-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-β-D-ManpNAc-(1→4)-α-L-Rhap-(1→P→,snfg-fig2,,31,"→4)-β-d-ManpNAc-(1→4)-β-d-Glcp-(1→4)-β-d-ManpNAc-(1→4)-α-l-Rhap-(1→P→
3
↑
1
β-d-Ribf-(1→4)-α-l-Rhap"
19,19C,59,full_structure,→4)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-β-D-ManpNAc-(1→4)-α-L-Rhap-(1→P→,→4)-[β-D-Glcp-(1→6)][β-D-Ribf-(1→4)-α-L-Rhap-(1→3)]-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→4)-β-D-ManpNAc-(1→4)-α-L-Rhap-(1→P→,snfg-fig2,,31,"β-d-Glcp
1
↓
6
→4)-β-d-ManpNAc-(1→4)-β-d-Glcp-(1→4)-β-d-ManpNAc-(1→4)-α-l-Rhap-(1→P→
3
↑
1
β-d-Ribf-(1→4)-α-l-Rhap"
